,name,team,element_type,selected_by_percent,now_cost,minutes,total_points,goals_scored,assists,clean_sheets,bonus,position
251,Jean-Philippe Mateta,Crystal Palace,4,0.4,5.1,715,39,2,0,3,3,Forward
252,Eberechi Eze,Crystal Palace,3,5.8,5.5,2271,134,8,4,8,18,Midfielder
253,Tyrick Mitchell,Crystal Palace,2,0.9,4.4,2529,80,0,2,7,5,Defender
254,Michael Olise,Crystal Palace,3,2.0,5.4,2384,116,2,9,7,14,Midfielder
255,Jesurun Rak-Sakyi,Crystal Palace,3,0.0,4.5,0,0,0,0,0,0,Midfielder
256,Malcolm Ebiowei,Crystal Palace,3,0.2,4.2,31,3,0,0,0,0,Midfielder
257,Nathan Ferguson,Crystal Palace,2,0.2,3.9,0,0,0,0,0,0,Defender
258,Sam Johnstone,Crystal Palace,1,1.0,4.4,450,24,0,0,2,5,Goalkeeper
259,Remi Matthews,Crystal Palace,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
260,Luke Plange,Crystal Palace,4,0.2,4.5,0,0,0,0,0,0,Forward
261,Cheick Doucouré,Crystal Palace,3,0.1,5.0,2443,65,0,3,6,3,Midfielder
262,Chris Richards,Crystal Palace,2,0.1,4.4,443,13,0,0,1,0,Defender
263,Joseph Whitworth,Crystal Palace,1,0.1,4.0,180,3,0,0,0,0,Goalkeeper
264,Kaden Rodney,Crystal Palace,3,0.0,4.5,0,0,0,0,0,0,Midfielder
265,Killian Phillips,Crystal Palace,3,0.0,4.5,0,0,0,0,0,0,Midfielder
266,John-Kymani Gordon,Crystal Palace,4,0.1,4.5,0,0,0,0,0,0,Forward
267,Kofi Balmer,Crystal Palace,2,0.1,4.0,0,0,0,0,0,0,Defender
268,Owen Goodman,Crystal Palace,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
269,Jack Wells-Morrison,Crystal Palace,3,0.0,4.5,0,0,0,0,0,0,Midfielder
270,David Ozoh,Crystal Palace,3,0.0,4.5,1,1,0,0,0,0,Midfielder
271,Naouirou Ahamada,Crystal Palace,3,0.0,4.5,86,6,0,0,0,0,Midfielder
272,Neal Maupay,Everton,4,0.5,5.6,1048,38,1,0,3,3,Forward
273,Asmir Begović,Everton,1,0.8,3.9,90,9,0,0,1,2,Goalkeeper
274,Salomón Rondón,Everton,4,0.3,4.9,103,7,0,0,0,0,Forward
275,Seamus Coleman,Everton,2,0.4,4.2,1654,63,1,0,5,5,Defender
276,Andros Townsend,Everton,3,0.0,5.4,0,0,0,0,0,0,Midfielder
277,Michael Keane,Everton,2,0.5,4.2,922,32,1,1,2,3,Defender
278,Dele Alli,Everton,3,0.1,5.3,38,2,0,0,0,0,Midfielder
279,Jordan Pickford,Everton,1,5.6,4.4,2970,112,0,1,7,10,Goalkeeper
280,Allan Marques Loureiro,Everton,3,0.1,4.8,0,0,0,0,0,0,Midfielder
281,André Tavares Gomes,Everton,3,0.0,4.5,0,0,0,0,0,0,Midfielder
282,Abdoulaye Doucouré,Everton,3,0.1,5.3,1167,48,2,2,3,5,Midfielder
283,Alex Iwobi,Everton,3,0.8,4.9,3019,114,2,7,8,9,Midfielder
284,Jean-Philippe Gbamin,Everton,3,0.0,4.5,0,0,0,0,0,0,Midfielder
285,Yerry Mina,Everton,2,0.1,4.3,234,13,1,0,0,3,Defender
286,Demarai Gray,Everton,3,0.6,5.2,2356,86,4,1,6,4,Midfielder
287,Tom Davies,Everton,3,0.0,4.9,524,19,0,0,1,0,Midfielder
288,Dominic Calvert-Lewin,Everton,4,0.3,7.9,990,34,2,0,4,2,Forward
289,Mason Holgate,Everton,2,0.1,4.2,443,15,0,0,2,2,Defender
290,Ben Godfrey,Everton,2,0.1,4.3,801,18,0,1,1,0,Defender
291,Vitalii Mykolenko,Everton,2,0.7,4.1,2563,73,0,1,7,4,Defender
292,Jarrad Branthwaite,Everton,2,0.0,4.0,0,0,0,0,0,0,Defender
293,Nathan Patterson,Everton,2,2.2,3.9,1066,27,0,0,2,0,Defender
294,Niels Nkounkou,Everton,2,0.2,4.0,0,0,0,0,0,0,Defender
295,James Tarkowski,Everton,2,3.7,4.1,3060,93,1,1,8,11,Defender
296,Conor Coady,Everton,2,3.2,4.7,1970,70,1,1,6,5,Defender
297,Rúben Nascimento Vinagre,Everton,2,0.0,4.3,24,2,0,0,0,0,Defender
298,Dwight McNeil,Everton,3,0.2,5.1,2130,98,5,3,4,11,Midfielder
299,Stanley Mills,Everton,3,0.0,4.3,0,0,0,0,0,0,Midfielder
300,Lewis Warrington,Everton,3,0.1,4.4,0,0,0,0,0,0,Midfielder
301,James Garner,Everton,3,0.0,4.5,451,18,0,1,1,0,Midfielder
302,Amadou Onana,Everton,3,0.1,4.7,2278,68,1,2,8,2,Midfielder
303,Reece Welch,Everton,2,0.1,4.0,0,0,0,0,0,0,Defender
304,Idrissa Gueye,Everton,3,0.1,4.8,2265,59,0,1,7,1,Midfielder
305,Eldin Jakupovic,Everton,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
306,Kyle John,Everton,2,0.0,3.9,0,0,0,0,0,0,Defender
307,Thomas Cannon,Everton,4,0.0,4.5,23,2,0,0,0,0,Forward
308,Isaac Price,Everton,3,0.0,4.5,32,0,0,0,0,0,Midfielder
309,Ellis Simms,Everton,4,0.2,4.5,216,16,1,0,0,0,Forward
310,Ishé Samuels-Smith,Everton,2,0.0,4.0,0,0,0,0,0,0,Defender
311,Andy Lonergan,Everton,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
312,Cédric Alves Soares,Fulham,2,0.1,4.2,133,8,0,0,0,0,Defender
313,Bernd Leno,Fulham,1,3.5,4.6,2790,118,0,0,7,14,Goalkeeper
314,Shane Duffy,Fulham,2,0.1,4.3,4,4,0,0,0,0,Defender
315,Tom Cairney,Fulham,3,0.0,4.7,590,30,0,1,0,0,Midfielder
316,Tim Ream,Fulham,2,2.3,4.6,2898,98,1,0,8,12,Defender
317,Anthony Knockaert,Fulham,3,0.0,4.7,0,0,0,0,0,0,Midfielder
318,Nathaniel Chalobah,Fulham,3,0.1,4.4,11,1,0,0,0,0,Midfielder
319,Neeskens Kebano,Fulham,3,0.0,5.4,719,37,0,4,3,0,Midfielder
320,Bobby De Cordova-Reid,Fulham,3,0.1,5.4,2415,86,4,1,8,3,Midfielder
321,Joe Bryan,Fulham,2,0.0,4.4,0,0,0,0,0,0,Defender
322,Paulo Gazzaniga Farias,Fulham,1,1.2,4.0,0,0,0,0,0,0,Goalkeeper
323,Terence Kongolo,Fulham,2,0.2,3.9,0,0,0,0,0,0,Defender
324,Tosin Adarabioyo,Fulham,2,0.1,4.4,1634,39,1,0,2,1,Defender
325,Aleksandar Mitrović,Fulham,4,11.9,6.6,1816,90,11,2,7,11,Forward
326,Harrison Reed,Fulham,3,0.7,4.3,2569,92,3,2,8,9,Midfielder
327,Harry Wilson,Fulham,3,0.1,5.7,713,48,2,2,1,2,Midfielder
328,Marek Rodák,Fulham,1,0.2,4.3,180,7,0,0,1,0,Goalkeeper
329,Ivan Neves Abreu Cavaleiro,Fulham,3,0.0,4.8,0,0,0,0,0,0,Midfielder
330,Kenny Tete,Fulham,2,0.4,4.4,2209,71,0,4,6,0,Defender
331,Josh Onomah,Fulham,3,0.1,4.3,14,2,0,0,0,0,Midfielder
332,Antonee Robinson,Fulham,2,0.5,4.4,2638,80,0,1,8,5,Defender
333,Rodrigo Muniz Carvalho,Fulham,4,0.0,5.4,0,0,0,0,0,0,Forward
334,Jay Stansfield,Fulham,4,0.7,4.5,85,7,0,1,0,0,Forward
335,João Palhinha Gonçalves,Fulham,3,0.3,4.9,2672,74,3,0,8,5,Midfielder
336,Daniel James,Fulham,3,0.2,5.9,782,43,2,1,1,2,Midfielder
337,Andreas Hoelgebaum Pereira,Fulham,3,14.0,4.4,2696,123,4,10,8,9,Midfielder
338,Issa Diop,Fulham,2,0.3,4.3,1572,65,1,0,6,6,Defender
339,Tyrese Francois,Fulham,3,0.0,4.4,1,1,0,0,0,0,Midfielder
340,Kevin Mbabu,Fulham,2,0.1,4.3,141,7,0,1,0,0,Defender
341,Luke Harris,Fulham,3,0.0,4.3,10,3,0,0,0,0,Midfielder
342,Manor Solomon,Fulham,3,0.2,4.9,495,39,4,0,0,1,Midfielder
343,Terry Ablade,Fulham,4,0.1,4.5,0,0,0,0,0,0,Forward
344,Layvin Kurzawa,Fulham,2,0.0,4.3,136,2,0,0,0,0,Defender
345,Willian Borges da Silva,Fulham,3,0.3,5.5,1710,85,3,5,8,7,Midfielder
346,Carlos Vinícius Alves Morais,Fulham,4,0.3,5.4,856,51,3,1,0,7,Forward
347,Stefan Parkes,Fulham,2,0.0,4.0,0,0,0,0,0,0,Defender
348,Martial Godo,Fulham,3,0.0,4.5,0,0,0,0,0,0,Midfielder
349,Kristian Sekularac,Fulham,3,0.0,4.5,0,0,0,0,0,0,Midfielder
350,Sasa Lukic,Fulham,3,0.0,4.5,245,9,0,0,0,0,Midfielder
351,George Wickens,Fulham,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
352,Charlie Robinson,Fulham,2,0.0,4.0,0,0,0,0,0,0,Defender
353,Kasper Schmeichel,Leicester,1,0.1,5.0,0,0,0,0,0,0,Goalkeeper
354,Jonny Evans,Leicester,2,0.1,4.4,811,12,0,0,1,0,Defender
355,Ryan Bertrand,Leicester,2,0.0,3.9,0,0,0,0,0,0,Defender
356,Marc Albrighton,Leicester,3,0.1,4.7,232,13,1,0,0,0,Midfielder
357,Nampalys Mendy,Leicester,3,0.4,4.2,726,28,1,0,0,1,Midfielder
358,Jannik Vestergaard,Leicester,2,5.0,3.8,0,0,0,0,0,0,Defender
359,Danny Ward,Leicester,1,19.9,3.9,2340,91,0,0,6,12,Goalkeeper
360,Jamie Vardy,Leicester,4,2.0,9.1,1601,77,3,5,3,4,Forward
361,Ricardo Barbosa Pereira,Leicester,2,0.1,4.2,384,19,1,1,0,2,Defender
362,Daniel Amartey,Leicester,2,0.7,3.9,1608,51,0,0,5,4,Defender
363,Timothy Castagne,Leicester,2,6.0,4.3,2895,105,2,4,7,11,Defender
364,Youri Tielemans,Leicester,3,1.1,6.1,2012,74,3,2,5,5,Midfielder
365,Ayoze Pérez,Leicester,3,0.1,4.7,378,19,0,2,1,0,Midfielder
366,James Maddison,Leicester,3,5.1,7.9,2164,121,9,8,4,9,Midfielder
367,Kelechi Iheanacho,Leicester,4,0.9,5.9,991,76,5,4,0,9,Forward
368,Hamza Choudhury,Leicester,3,0.0,4.5,0,0,0,0,0,0,Midfielder
369,Harvey Barnes,Leicester,3,1.3,6.7,2442,117,10,2,6,0,Midfielder
370,Wilfred Ndidi,Leicester,3,0.2,4.8,1494,35,0,0,0,0,Midfielder
371,Kiernan Dewsbury-Hall,Leicester,3,0.5,4.9,2221,78,2,3,6,5,Midfielder
372,Çaglar Söyüncü,Leicester,2,0.2,4.2,438,16,1,0,0,3,Defender
373,James Justin,Leicester,2,0.4,4.1,1252,45,0,2,5,2,Defender
374,Boubakary Soumaré,Leicester,3,0.3,4.4,1279,33,0,0,5,0,Midfielder
375,Luke Thomas,Leicester,2,0.1,3.9,851,19,0,1,1,0,Defender
376,Patson Daka,Leicester,4,0.8,5.6,1099,64,4,3,5,3,Forward
377,Lewis Brunt,Leicester,2,0.3,3.9,22,1,0,0,0,0,Defender
378,Daniel Iversen,Leicester,1,4.9,3.8,720,17,0,0,0,0,Goalkeeper
379,Dennis Praet,Leicester,3,0.0,4.8,590,33,1,1,2,0,Midfielder
380,Alex Smithies,Leicester,1,0.1,3.9,0,0,0,0,0,0,Goalkeeper
381,Wout Faes,Leicester,2,0.2,4.2,2426,61,0,2,6,3,Defender
382,Sammy Braybrooke,Leicester,3,0.0,4.5,0,0,0,0,0,0,Midfielder
383,Joe Wormleighton,Leicester,2,0.0,4.0,0,0,0,0,0,0,Defender
384,Kasey McAteer,Leicester,3,0.0,4.5,0,0,0,0,0,0,Midfielder
385,Victor Kristiansen,Leicester,2,0.0,4.5,816,16,0,1,0,0,Defender
386,Mateus Cardoso Lemos Martins,Leicester,3,0.1,5.0,658,25,1,0,0,1,Midfielder
387,Harry Souttar,Leicester,2,0.0,4.5,900,13,0,1,0,0,Defender
388,Wanya Marçal-Madivadua,Leicester,3,0.0,4.5,0,0,0,0,0,0,Midfielder
389,Liam Cooper,Leeds,2,0.1,4.4,1335,32,1,0,2,1,Defender
390,Luke Ayling,Leeds,2,0.3,4.5,1688,48,1,1,3,2,Defender
391,Mateusz Klich,Leeds,3,0.0,4.6,266,12,0,0,0,0,Midfielder
392,Adam Forshaw,Leeds,3,0.0,4.4,198,9,0,0,0,0,Midfielder
393,Rodrigo Moreno,Leeds,3,3.9,6.3,1630,109,11,1,5,6,Midfielder
394,Stuart Dallas,Leeds,2,0.0,4.9,0,0,0,0,0,0,Defender
395,Patrick Bamford,Leeds,4,0.5,7.1,1308,65,4,4,1,3,Forward
396,Diego Llorente,Leeds,2,0.2,4.4,648,16,0,0,1,2,Defender
397,Tyler Roberts,Leeds,3,0.0,5.0,0,0,0,0,0,0,Midfielder
398,Robin Koch,Leeds,2,0.2,4.5,2905,54,0,0,5,2,Defender
399,Raphael Dias Belloli,Leeds,3,0.1,7.0,0,0,0,0,0,0,Midfielder
400,Jack Harrison,Leeds,3,2.3,5.7,2432,120,4,8,6,14,Midfielder
401,Jamie Shackleton,Leeds,3,0.0,4.5,0,0,0,0,0,0,Midfielder
402,Pascal Struijk,Leeds,2,0.5,4.5,2046,64,2,2,4,4,Defender
403,Kristoffer Klaesson,Leeds,1,0.6,3.8,0,0,0,0,0,0,Goalkeeper
404,Sam Greenwood,Leeds,4,10.7,4.0,328,27,1,2,0,1,Forward
405,Illan Meslier,Leeds,1,1.8,4.5,3060,90,0,0,5,8,Goalkeeper
406,Junior Firpo Adames,Leeds,2,0.1,4.5,1154,28,1,1,1,3,Defender
407,Crysencio Summerville,Leeds,3,0.6,4.2,1358,73,4,4,1,4,Midfielder
408,Lewis Bate,Leeds,3,0.0,4.5,0,0,0,0,0,0,Midfielder
409,Joe Gelhardt,Leeds,4,0.2,5.1,201,20,0,2,0,0,Forward
410,Leo Fuhr Hjelde,Leeds,2,0.2,3.9,0,0,0,0,0,0,Defender
411,Rasmus Kristensen,Leeds,2,0.4,4.7,1597,42,2,1,2,1,Defender
412,Marc Roca Junqué,Leeds,3,0.1,4.8,2252,65,1,3,2,3,Midfielder
413,Brenden Aaronson,Leeds,3,0.6,5.3,2293,79,1,4,5,0,Midfielder
414,Darko Gyabi,Leeds,3,0.1,4.2,7,1,0,0,0,0,Midfielder
415,Tyler Adams,Leeds,3,0.1,4.9,2156,47,0,0,5,1,Midfielder
416,Luis Sinisterra Lucumí,Leeds,3,0.3,6.5,863,53,5,0,0,6,Midfielder
417,Cody Drameh,Leeds,2,0.1,4.0,70,1,0,0,0,0,Defender
418,Archie Gray,Leeds,3,0.0,4.5,0,0,0,0,0,0,Midfielder
419,Joel Robles,Leeds,1,0.1,4.0,0,0,0,0,0,0,Goalkeeper
420,Wilfried Gnonto,Leeds,4,0.8,4.7,1205,53,2,4,4,6,Forward
421,Mateo Joseph Fernández,Leeds,4,0.0,4.5,24,3,0,0,0,0,Forward
422,Sonny Perkins,Leeds,4,0.0,4.5,0,0,0,0,0,0,Forward
423,Maximilian Wöber,Leeds,2,0.0,4.4,935,23,0,0,2,2,Defender
424,Georginio Rutter,Leeds,4,0.0,5.1,233,11,0,0,0,0,Forward
425,Weston McKennie,Leeds,3,0.0,4.6,1112,22,0,0,1,0,Midfielder
426,Jeremiah Chilokoa-Mullen,Leeds,2,0.0,4.0,0,0,0,0,0,0,Defender
427,Diogo Pinheiro Monteiro,Leeds,2,0.0,4.0,0,0,0,0,0,0,Defender
428,James Milner,Liverpool,3,0.6,4.4,751,36,0,1,3,0,Midfielder
429,Jordan Henderson,Liverpool,3,0.5,5.3,1776,59,0,3,6,0,Midfielder
430,Joel Matip,Liverpool,2,0.9,5.9,1001,36,1,0,3,4,Defender
431,Thiago Alcántara do Nascimento,Liverpool,3,0.6,5.1,1252,30,0,0,2,0,Midfielder
432,Alex Oxlade-Chamberlain,Liverpool,3,0.0,4.9,332,20,1,0,0,2,Midfielder
433,Roberto Firmino,Liverpool,4,2.6,8.0,1128,92,9,4,4,10,Forward
434,Virgil van Dijk,Liverpool,2,11.7,6.6,2475,102,3,0,8,10,Defender
435,Alisson Ramses Becker,Liverpool,1,15.3,5.4,2970,136,0,1,11,10,Goalkeeper
436,Fabio Henrique Tavares,Liverpool,3,0.8,5.2,2260,57,0,1,8,0,Midfielder
437,Mohamed Salah,Liverpool,3,34.1,13.0,2850,196,17,8,10,18,Midfielder
438,Andrew Robertson,Liverpool,2,6.9,6.8,2313,106,0,8,7,10,Defender
439,Trent Alexander-Arnold,Liverpool,2,26.4,7.6,2472,124,1,10,7,17,Defender
440,Joseph Gomez,Liverpool,2,0.8,4.3,1371,68,0,0,8,8,Defender
441,Naby Keita,Liverpool,3,0.0,4.7,290,10,0,0,1,0,Midfielder
442,Diogo Teixeira da Silva,Liverpool,4,5.4,8.9,913,62,5,4,4,6,Forward
443,Caoimhin Kelleher,Liverpool,1,0.2,4.0,0,0,0,0,0,0,Goalkeeper
444,Ibrahima Konaté,Liverpool,2,1.3,4.8,1191,32,0,0,4,0,Defender
445,Curtis Jones,Liverpool,3,0.0,4.9,664,27,1,1,1,1,Midfielder
446,Konstantinos Tsimikas,Liverpool,2,0.2,4.3,615,41,0,4,3,2,Defender
447,Luis Díaz,Liverpool,3,6.1,7.8,724,52,4,2,2,7,Midfielder
448,Harvey Elliott,Liverpool,3,0.6,4.8,1550,59,1,2,5,2,Midfielder
449,Fábio Freitas Gouveia Carvalho,Liverpool,3,0.3,5.1,333,26,2,1,0,0,Midfielder
450,Darwin Núñez Ribeiro,Liverpool,4,7.6,8.6,1538,93,9,4,5,8,Forward
451,Calvin Ramsay,Liverpool,2,0.2,3.9,0,0,0,0,0,0,Defender
452,Adrián San Miguel del Castillo,Liverpool,1,0.6,3.8,0,0,0,0,0,0,Goalkeeper
453,Rhys Williams,Liverpool,2,0.0,4.0,0,0,0,0,0,0,Defender
454,Ben Davies,Liverpool,2,0.0,4.0,0,0,0,0,0,0,Defender
455,Sepp van den Berg,Liverpool,2,0.1,4.0,0,0,0,0,0,0,Defender
456,Nathaniel Phillips,Liverpool,2,0.5,3.8,65,3,0,0,0,0,Defender
457,Luke Chambers,Liverpool,2,0.1,4.0,0,0,0,0,0,0,Defender
458,Stefan Bajcetic,Liverpool,3,0.0,4.3,522,22,1,0,3,0,Midfielder
459,Bobby Clark,Liverpool,3,0.0,4.5,7,1,0,0,0,0,Midfielder
460,Harvey Davies,Liverpool,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
461,Arthur Henrique Ramos de Oliveira Melo,Liverpool,3,0.0,4.8,0,0,0,0,0,0,Midfielder
462,Ben Doak,Liverpool,3,0.0,4.5,23,2,0,0,0,0,Midfielder
463,Cody Gakpo,Liverpool,3,6.4,7.7,1128,75,6,3,4,4,Midfielder
464,Kyle Walker,Man City,2,3.9,4.7,1467,46,0,0,4,0,Defender
465,Ilkay Gündogan,Man City,3,2.2,7.3,2094,98,4,5,9,3,Midfielder
466,Kevin De Bruyne,Man City,3,28.6,12.2,2255,178,7,18,10,25,Midfielder
467,John Stones,Man City,2,7.5,5.6,1638,84,2,2,6,13,Defender
468,Riyad Mahrez,Man City,3,4.4,7.3,1390,97,5,8,3,9,Midfielder
469,Jack Grealish,Man City,3,16.0,7.3,1949,114,5,9,9,9,Midfielder
470,João Cancelo,Man City,2,18.1,7.1,1273,73,2,2,6,10,Defender
471,Ederson Santana de Moraes,Man City,1,15.2,5.4,2880,108,0,1,10,6,Goalkeeper
472,Nathan Aké,Man City,2,2.7,5.0,1680,68,0,0,7,4,Defender
473,Aymeric Laporte,Man City,2,0.5,5.6,645,23,0,0,2,2,Defender
474,Zack Steffen,Man City,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
475,Bernardo Veiga de Carvalho e Silva,Man City,3,5.6,6.7,2008,100,4,6,6,9,Midfielder
476,Rúben Gato Alves Dias,Man City,2,7.4,6.0,1817,68,0,0,7,1,Defender
477,Phil Foden,Man City,3,8.1,8.0,1409,114,9,6,3,12,Midfielder
478,Rodrigo Hernandez,Man City,3,1.8,5.6,2631,98,2,6,9,7,Midfielder
479,Cole Palmer,Man City,3,0.1,4.2,139,10,0,0,0,0,Midfielder
480,James McAtee,Man City,3,0.0,4.5,0,0,0,0,0,0,Midfielder
481,Erling Haaland,Man City,4,82.9,12.4,2404,249,34,8,11,37,Forward
482,Julián Álvarez,Man City,4,2.3,6.0,983,86,8,3,2,12,Forward
483,Luke Mbete-Tabu,Man City,2,0.1,3.9,0,0,0,0,0,0,Defender
484,Josh Wilson-Esbrand,Man City,2,0.6,3.8,0,0,0,0,0,0,Defender
485,Liam Delap,Man City,4,0.2,4.4,0,0,0,0,0,0,Forward
486,Stefan Ortega Moreno,Man City,1,1.1,3.8,0,0,0,0,0,0,Goalkeeper
487,Kalvin Phillips,Man City,3,0.1,4.8,102,6,0,0,0,0,Midfielder
488,Scott Carson,Man City,1,0.4,3.8,0,0,0,0,0,0,Goalkeeper
489,Rico Lewis,Man City,2,0.7,3.8,540,17,0,0,1,0,Defender
490,Sergio Gómez,Man City,2,0.1,4.4,166,10,0,1,0,0,Defender
491,Claudio Gomes,Man City,3,0.0,4.5,0,0,0,0,0,0,Midfielder
492,Ben Knight,Man City,3,0.0,4.5,0,0,0,0,0,0,Midfielder
493,Manuel Akanji,Man City,2,3.6,5.0,2035,72,0,1,6,5,Defender
494,Máximo Perrone,Man City,3,0.0,4.4,18,1,0,0,0,0,Midfielder
495,Jack Butland,Man Utd,1,0.1,4.4,0,0,0,0,0,0,Goalkeeper
496,Cristiano Ronaldo dos Santos Aveiro,Man Utd,4,1.9,10.2,519,20,1,0,3,3,Forward
497,David De Gea Quintana,Man Utd,1,12.6,5.0,2880,132,0,0,15,5,Goalkeeper
498,Phil Jones,Man Utd,2,0.6,3.8,0,0,0,0,0,0,Defender
499,Raphaël Varane,Man Utd,2,2.5,4.8,1652,63,0,0,8,2,Defender
500,Harry Maguire,Man Utd,2,0.4,4.7,663,36,0,0,5,2,Defender
501,Frederico Rodrigues de Paula Santos,Man Utd,3,0.5,5.1,1053,50,2,2,3,2,Midfielder
502,Luke Shaw,Man Utd,2,16.2,5.1,2147,103,1,4,10,14,Defender
503,Bruno Borges Fernandes,Man Utd,3,7.2,9.4,2789,145,6,8,15,20,Midfielder
504,Alex Telles,Man Utd,2,0.0,5.0,0,0,0,0,0,0,Defender
505,Marcus Rashford,Man Utd,3,44.3,7.2,2563,192,16,7,13,21,Midfielder
506,Donny van de Beek,Man Utd,3,0.1,5.1,162,8,0,0,0,0,Midfielder
